"location","indicator","age","sex","measure","Unit","Date","Value"
"Australian Capital Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2019","286.9"
"Australian Capital Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2020","274.6"
"Australian Capital Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2021","257.8"
"Australian Capital Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","256.4"
"Northern Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2009","7554.4"
"Northern Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2010","7986.4"
"Northern Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2011","7053.9"
"Northern Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2012","7220.7"
"Northern Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2013","7663.3"
"Northern Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2014","8072.7"
"Northern Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2015","7913.3"
"Northern Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2016","8063.1"
"Northern Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2017","7865.9"
"Northern Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2018","8086.8"
"Northern Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2019","7153.4"
"Northern Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2020","6417.6"
"Northern Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2021","6259"
"Northern Territory","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","5924.5"
"Northern Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2009","2645.7"
"Northern Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2010","2782.3"
"Northern Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2011","2487.7"
"Northern Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2012","2911.4"
"Northern Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2013","2990.8"
"Northern Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2014","3486.6"
"Northern Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2015","3301.6"
"Northern Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2016","3377.7"
"Northern Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2017","3407.8"
"Northern Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2018","3655.3"
"Northern Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2019","3066"
"Northern Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2020","2527.3"
"Northern Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2021","2334.5"
"Northern Territory","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","2120.7"
"New South Wales","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2009","2833.8"
"New South Wales","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2010","2873.9"
"New South Wales","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2011","2954.7"
"New South Wales","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2012","2736.5"
"New South Wales","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2013","2892.6"
"New South Wales","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2014","2967.4"
"New South Wales","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2015","3015.9"
"New South Wales","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2016","3035.2"
"New South Wales","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2017","2960.1"
"New South Wales","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2018","2841.6"
"New South Wales","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2019","2688.1"
"New South Wales","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2020","2535.9"
"New South Wales","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2021","2376.9"
"New South Wales","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","2885.3"
"New South Wales","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2009","718"
"New South Wales","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2010","761.6"
"New South Wales","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2011","787.2"
"New South Wales","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2012","738.9"
"New South Wales","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2013","751.5"
"New South Wales","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2014","768.9"
"New South Wales","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2015","788.2"
"New South Wales","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2016","832.5"
"New South Wales","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2017","851.6"
"New South Wales","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2018","829.3"
"New South Wales","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2019","797.2"
"New South Wales","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2020","763.1"
"New South Wales","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2021","723.8"
"New South Wales","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","913.7"
"Queensland","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2009","3807.1"
"Queensland","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2010","3751.1"
"Queensland","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2011","3422.4"
"Queensland","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2012","3427"
"Queensland","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2013","3380.2"
"Queensland","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2014","3623.9"
"Queensland","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2015","3628"
"Queensland","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2016","3532.3"
"Queensland","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2017","3316.6"
"Queensland","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2018","3151.5"
"Queensland","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2019","3048.7"
"Queensland","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2020","2935.6"
"Queensland","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2021","2764.6"
"Queensland","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","2635.4"
"Queensland","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2009","1106.3"
"Queensland","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2010","1112.8"
"Queensland","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2011","1028.7"
"Queensland","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2012","1039.5"
"Queensland","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2013","987.2"
"Queensland","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2014","1087"
"Queensland","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2015","1120.8"
"Queensland","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2016","1181.1"
"Queensland","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2017","1117.7"
"Queensland","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2018","1058.8"
"Queensland","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2019","1053.1"
"Queensland","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2020","1046.3"
"Queensland","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2021","980.8"
"Queensland","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","912"
"South Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2009","4317.1"
"South Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2010","4405.5"
"South Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2011","4459"
"South Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2012","4279.8"
"South Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2013","4859.2"
"South Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2014","5317.5"
"South Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2015","5054.2"
"South Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2016","5215.4"
"South Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2017","5087"
"South Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2018","4726.3"
"South Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2019","4472.5"
"South Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2020","3614"
"South Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2021","3038.6"
"South Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","2400.6"
"South Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2009","1082.1"
"South Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2010","1115.3"
"South Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2011","1151.6"
"South Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2012","1118.8"
"South Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2013","1296.7"
"South Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2014","1427.3"
"South Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2015","1362.2"
"South Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2016","1456"
"South Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2017","1480.3"
"South Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2018","1427.2"
"South Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2019","1359"
"South Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2020","1157.1"
"South Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2021","984.1"
"South Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","768.4"
"Tasmania","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2009","5370.9"
"Tasmania","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2010","5170.7"
"Tasmania","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2011","4961.4"
"Tasmania","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2012","4874.3"
"Tasmania","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2013","4045.7"
"Tasmania","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2014","3691.8"
"Tasmania","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2015","3794.7"
"Tasmania","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2016","3579.1"
"Tasmania","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2017","3578.1"
"Tasmania","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2018","3424.3"
"Tasmania","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2019","3287.8"
"Tasmania","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2020","2825"
"Tasmania","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2021","2679.7"
"Tasmania","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","2297.4"
"Tasmania","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2009","1450"
"Tasmania","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2010","1540.5"
"Tasmania","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2011","1421.6"
"Tasmania","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2012","1479.4"
"Tasmania","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2013","1090.6"
"Tasmania","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2014","988.9"
"Tasmania","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2015","1027.1"
"Tasmania","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2016","961"
"Tasmania","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2017","1028.3"
"Tasmania","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2018","990.8"
"Tasmania","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2019","912.4"
"Tasmania","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2020","858.5"
"Tasmania","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2021","833.6"
"Tasmania","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","784.8"
"Victoria","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2009","2306.8"
"Victoria","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2010","2571.1"
"Victoria","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2011","2601.4"
"Victoria","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2012","2689.4"
"Victoria","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2013","2817.3"
"Victoria","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2014","2629.2"
"Victoria","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2015","2518.5"
"Victoria","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2016","2357.2"
"Victoria","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2017","2221.7"
"Victoria","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2018","2235.2"
"Victoria","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2019","2120.8"
"Victoria","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2020","2014.2"
"Victoria","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2021","2102.1"
"Victoria","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","2046.3"
"Victoria","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2009","610.7"
"Victoria","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2010","663.6"
"Victoria","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2011","661.1"
"Victoria","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2012","668.5"
"Victoria","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2013","713.8"
"Victoria","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2014","650.1"
"Victoria","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2015","611.2"
"Victoria","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2016","589.1"
"Victoria","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2017","572.3"
"Victoria","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2018","562.5"
"Victoria","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2019","564"
"Victoria","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2020","550"
"Victoria","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2021","605.8"
"Victoria","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","572"
"Western Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2009","3424.8"
"Western Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2010","3420.6"
"Western Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2011","2973.3"
"Western Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2012","2647.9"
"Western Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2013","2531.5"
"Western Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2014","2492.5"
"Western Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2015","2638.3"
"Western Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2016","2664.1"
"Western Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2017","2741.9"
"Western Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2018","2674.6"
"Western Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2019","2536.2"
"Western Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2020","2397.4"
"Western Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2021","2239.7"
"Western Australia","Total Recorded Crime","All Age","Male","Offender Rate","Number of offenders per 100,000","2022","2075.2"
"Western Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2009","1085.6"
"Western Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2010","1125.8"
"Western Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2011","1000.8"
"Western Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2012","896.1"
"Western Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2013","863.4"
"Western Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2014","795.3"
"Western Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2015","864.9"
"Western Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2016","932.8"
"Western Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2017","988"
"Western Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2018","1005.6"
"Western Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2019","942.4"
"Western Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2020","874.7"
"Western Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2021","811.8"
"Western Australia","Total Recorded Crime","All Age","Female","Offender Rate","Number of offenders per 100,000","2022","781.1"
