"location","indicator","age","sex","measure","Unit","Date","Value"
"South Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2018","3048.7"
"South Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2019","2899.7"
"South Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2020","2370.8"
"South Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2021","1995.4"
"South Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2022","1572.5"
"Tasmania","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2009","3382.3"
"Tasmania","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2010","3333.1"
"Tasmania","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2011","3171.6"
"Tasmania","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2012","3160"
"Tasmania","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2013","2552.6"
"Tasmania","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2014","2323.3"
"Tasmania","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2015","2391.8"
"Tasmania","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2016","2249.7"
"Tasmania","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2017","2280.7"
"Tasmania","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2018","2188.7"
"Tasmania","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2019","2080"
"Tasmania","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2020","1825.7"
"Tasmania","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2021","1744.4"
"Tasmania","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2022","1535.9"
"Victoria","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2009","1449"
"Victoria","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2010","1608.9"
"Victoria","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2011","1622.4"
"Victoria","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2012","1668.6"
"Victoria","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2013","1755.8"
"Victoria","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2014","1630.4"
"Victoria","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2015","1555.7"
"Victoria","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2016","1462.8"
"Victoria","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2017","1391.7"
"Victoria","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2018","1385.5"
"Victoria","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2019","1330.5"
"Victoria","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2020","1271.5"
"Victoria","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2021","1342.7"
"Victoria","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2022","1297.4"
"Western Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2009","2278.7"
"Western Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2010","2301.4"
"Western Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2011","2008.9"
"Western Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2012","1789.6"
"Western Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2013","1714.9"
"Western Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2014","1655.7"
"Western Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2015","1760.3"
"Western Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2016","1808.2"
"Western Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2017","1873.5"
"Western Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2018","1844.4"
"Western Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2019","1742.9"
"Western Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2020","1637.9"
"Western Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2021","1526.4"
"Western Australia","Total Recorded Crime","All Age","Total","Offender Rate","Number of offenders per 100,000","2022","1433.7"
