"location","indicator","age","sex","measure","Unit","Date","Value"
"Australia","Illicit drug offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2010","303.6"
"Australia","Illicit drug offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2011","303.5"
"Australia","Illicit drug offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2012","309.2"
"Australia","Illicit drug offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2013","327.1"
"Australia","Illicit drug offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2014","361.3"
"Australia","Illicit drug offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2015","394.5"
"Australia","Illicit drug offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2016","398.7"
"Australia","Illicit drug offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2017","382.2"
"Australia","Illicit drug offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2018","360.1"
"Australia","Illicit drug offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2019","351.2"
"Australia","Illicit drug offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2020","333.2"
"Australia","Illicit drug offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2021","278.4"
"Australia","Illicit drug offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2022","224.9"
"Australia","Public order offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2009","352.2"
"Australia","Public order offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2010","394.3"
"Australia","Public order offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2011","381.8"
"Australia","Public order offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2012","353.5"
"Australia","Public order offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2013","370.2"
"Australia","Public order offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2014","379.8"
"Australia","Public order offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2015","340.2"
"Australia","Public order offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2016","306.7"
"Australia","Public order offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2017","288.2"
"Australia","Public order offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2018","283.5"
"Australia","Public order offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2019","243.7"
"Australia","Public order offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2020","183.4"
"Australia","Public order offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2021","169.4"
"Australia","Public order offences","All Age","Total","Offender Rate","Number of offenders per 100,000","2022","150.6"
"Australia","Offences against justice","All Age","Total","Offender Rate","Number of offenders per 100,000","2009","139.9"
"Australia","Offences against justice","All Age","Total","Offender Rate","Number of offenders per 100,000","2010","136.8"
"Australia","Offences against justice","All Age","Total","Offender Rate","Number of offenders per 100,000","2011","122.9"
"Australia","Offences against justice","All Age","Total","Offender Rate","Number of offenders per 100,000","2012","116.7"
"Australia","Offences against justice","All Age","Total","Offender Rate","Number of offenders per 100,000","2013","121.6"
"Australia","Offences against justice","All Age","Total","Offender Rate","Number of offenders per 100,000","2014","125.8"
"Australia","Offences against justice","All Age","Total","Offender Rate","Number of offenders per 100,000","2015","125.3"
"Australia","Offences against justice","All Age","Total","Offender Rate","Number of offenders per 100,000","2016","130.2"
"Australia","Offences against justice","All Age","Total","Offender Rate","Number of offenders per 100,000","2017","122.7"
"Australia","Offences against justice","All Age","Total","Offender Rate","Number of offenders per 100,000","2018","125.2"
"Australia","Offences against justice","All Age","Total","Offender Rate","Number of offenders per 100,000","2019","124.9"
"Australia","Offences against justice","All Age","Total","Offender Rate","Number of offenders per 100,000","2020","124"
"Australia","Offences against justice","All Age","Total","Offender Rate","Number of offenders per 100,000","2021","128.1"
"Australia","Offences against justice","All Age","Total","Offender Rate","Number of offenders per 100,000","2022","126.8"
